File with CYS in L,File with CYS in L and SSBOND,File without CYS in L
3zrj_0009.pdb,1cqg_0002.pdb,1a0n_0009.pdb
4yje_0008.pdb,1pmx_0002.pdb,1czy_0003.pdb
4zoz_0001.pdb,2aij_0013.pdb,1ddv_0012.pdb
5o9u_0010.pdb,3p72_0001.pdb,1eg4_0003.pdb
5v2p_0018.pdb,3wgx_0015.pdb,1f47_0001.pdb
,4m91_0001.pdb,1f8h_0003.pdb
,5di8_0015.pdb,1j2x_0001.pdb
,6f4s_0002.pdb,1jd5_0001.pdb
,,1jq8_0001.pdb
,,1jw6_0019.pdb
,,1l2z_0001.pdb
,,1lb6_0004.pdb
,,1mf4_0020.pdb
,,1mv0_0001.pdb
,,1nrl_0016.pdb
,,1nvq_0018.pdb
,,1o0p_0001.pdb
,,1p7v_0014.pdb
,,1r17_0004.pdb
,,1rxz_0001.pdb
,,1t74_0006.pdb
,,1v1t_0009.pdb
,,1w80_0013.pdb
,,1yfn_0001.pdb
,,1ywi_0001.pdb
,,1ywo_0001.pdb
,,1yy6_0001.pdb
,,2aq9_0005.pdb
,,2c3i_0007.pdb
,,2cch_0010.pdb
,,2cny_0001.pdb
,,2e4h_0001.pdb
,,2fgr_0005.pdb
,,2fka_0001.pdb
,,2hpl_0002.pdb
,,2ht9_0012.pdb
,,2i94_0008.pdb
,,2ivz_0009.pdb
,,2jkg_0001.pdb
,,2jnw_0001.pdb
,,2jqk_0001.pdb
,,2ka9_0008.pdb
,,2kbr_0001.pdb
,,2ke1_0001.pdb
,,2khh_0001.pdb
,,2koh_0003.pdb
,,2las_0006.pdb
,,2lsi_0002.pdb
,,2m0v_0001.pdb
,,2nnu_0016.pdb
,,2o9v_0001.pdb
,,2p1o_0010.pdb
,,2qos_0017.pdb
,,2r7g_0020.pdb
,,2rol_0001.pdb
,,2v8c_0001.pdb
,,2vzg_0004.pdb
,,2xcb_0019.pdb
,,2xpn_0005.pdb
,,2xrw_0003.pdb
,,2ymt_0001.pdb
,,3agy_0002.pdb
,,3bej_0005.pdb
,,3bqo_0001.pdb
,,3emh_0003.pdb
,,3emw_0013.pdb
,,3et3_0010.pdb
,,3fp2_0003.pdb
,,3g2s_0001.pdb
,,3h1z_0013.pdb
,,3i5r_0001.pdb
,,3obq_0006.pdb
,,3pe4_0009.pdb
,,3plu_0006.pdb
,,3r42_0018.pdb
,,3s9c_0004.pdb
,,3shb_0006.pdb
,,3tiw_0001.pdb
,,3v2o_0013.pdb
,,4a2a_0013.pdb
,,4bt9_0001.pdb
,,4c5a_0012.pdb
,,4dg3_0002.pdb
,,4ep2_0009.pdb
,,4fii_0001.pdb
,,4gq6_0004.pdb
,,4hdq_0008.pdb
,,4hom_0010.pdb
,,4iga_0001.pdb
,,4j2c_0001.pdb
,,4j8b_0010.pdb
,,4leb_0002.pdb
,,4lk9_0013.pdb
,,4lzf_0006.pdb
,,4m5s_0013.pdb
,,4mvi_0002.pdb
,,4nuu_0006.pdb
,,4nxr_0008.pdb
,,4ny3_0016.pdb
,,4odk_0006.pdb
,,4ouc_0018.pdb
,,4oyk_0002.pdb
,,4pd1_0009.pdb
,,4pge_0001.pdb
,,4qbr_0001.pdb
,,4r5i_0008.pdb
,,4txr_0001.pdb
,,4u0c_0001.pdb
,,4uqy_0001.pdb
,,4x2h_0011.pdb
,,4x3o_0007.pdb
,,4xc2_0001.pdb
,,4xek_0003.pdb
,,4z2o_0018.pdb
,,5bs2_0004.pdb
,,5crw_0003.pdb
,,5d94_0004.pdb
,,5dai_0003.pdb
,,5e33_0004.pdb
,,5efi_0017.pdb
,,5ei3_0001.pdb
,,5fml_0008.pdb
,,5fpx_0011.pdb
,,5fv6_0010.pdb
,,5ggp_0009.pdb
,,5gu4_0003.pdb
,,5huw_0002.pdb
,,5i7z_0002.pdb
,,5j3q_0014.pdb
,,5kds_0001.pdb
,,5lyn_0001.pdb
,,5m5r_0014.pdb
,,5n22_0001.pdb
,,5n85_0006.pdb
,,5njc_0015.pdb
,,5nqv_0006.pdb
,,5oj5_0004.pdb
,,5onp_0001.pdb
,,5t0k_0001.pdb
,,5tgi_0013.pdb
,,5v3r_0007.pdb
,,5wfv_0011.pdb
,,5wyi_0011.pdb
,,5xhz_0001.pdb
,,5xxq_0019.pdb
,,5yay_0001.pdb
,,6b27_0004.pdb
,,6co4_0017.pdb
,,6dei_0014.pdb
,,6e5x_0012.pdb
,,6ej7_0007.pdb
,,6f0w_0007.pdb
,,6f0y_0011.pdb
,,6f6d_0002.pdb
,,6fbk_0001.pdb
,,6g5g_0004.pdb
,,6h7b_0001.pdb
